PT_CODE,UMLS_CUI,TERM,TTY
10051223,C0001427,"Adenoiditis",LLT
10070460,C0001429,"Adenolymphoma",PT
10070460,C0001429,"Adenolymphoma",LLT
10074291,C0001429,"Papillary cystadenoma lymphomatosum",PT
10074291,C0001429,"Papillary cystadenoma lymphomatosum",LLT
10001233,C0001430,"Adenoma benign",LLT
10001233,C0001430,"Adenoma benign",PT
10060931,C0001486,"Adenovirus infection",LLT
10060931,C0001486,"Adenovirus infection",PT
10060932,C0001510,"Postoperative adhesion",LLT
10060932,C0001510,"Postoperative adhesion",PT
10059837,C0001511,"Adhesion",PT
10059837,C0001511,"Adhesion",LLT
10001294,C0001529,"Adiposis dolorosa",PT
10001294,C0001529,"Adiposis dolorosa",LLT
10001297,C0001539,"Adjustment disorder with depressed mood",PT
10001297,C0001539,"Adjustment disorder with depressed mood",LLT
10001298,C0001540,"Adjustment disorder with disturbance of conduct",PT
10001298,C0001540,"Adjustment disorder with disturbance of conduct",LLT
10001300,C0001541,"Adjustment disorder with mixed disturbance of emotion and conduct",LLT
10001300,C0001541,"Adjustment disorder with mixed disturbance of emotion and conduct",PT
10061621,C0001546,"Adjustment disorder",LLT
10061621,C0001546,"Adjustment disorder",PT
10001317,C0001577,"Adnexitis",LLT
10001318,C0001578,"Adolescence",PT
10001318,C0001578,"Adolescence",LLT
10001322,C0001593,"Adoption",PT
10001322,C0001593,"Adoption",LLT
10001347,C0001621,"Adrenal disorder",LLT
10001347,C0001621,"Adrenal disorder",PT
10020564,C0001622,"Hyperadrenocorticism",PT
10020564,C0001622,"Hyperadrenocorticism",LLT
10020562,C0001622,"Hyperadrenalism",PT
10020562,C0001622,"Hyperadrenalism",LLT
10020610,C0001622,"Hypercorticoidism",LLT
10001367,C0001623,"Adrenal insufficiency",LLT
10001367,C0001623,"Adrenal insufficiency",PT
10061588,C0001624,"Adrenal neoplasm",LLT
10061588,C0001624,"Adrenal neoplasm",PT
10061622,C0001632,"Adrenalectomy",LLT
10061622,C0001632,"Adrenalectomy",PT
10052813,C0001707,"Aerophagia",PT
10052813,C0001707,"Aerophagia",LLT
10056245,C0001727,"Afferent loop syndrome",PT
10056245,C0001727,"Afferent loop syndrome",LLT
10001488,C0001807,"Aggression",PT
10001488,C0001807,"Aggression",LLT
10077161,C0001815,"Primary myelofibrosis",LLT
10077161,C0001815,"Primary myelofibrosis",PT
10048663,C0001816,"Agnosia",PT
10048663,C0001816,"Agnosia",LLT
10001502,C0001818,"Agoraphobia",PT
10001502,C0001818,"Agoraphobia",LLT
10016279,C0001818,"Fear of open spaces",PT
10016279,C0001818,"Fear of open spaces",LLT
10001507,C0001824,"Agranulocytosis",PT
10001507,C0001824,"Agranulocytosis",LLT
10001508,C0001825,"Agraphia",PT
10001508,C0001825,"Agraphia",LLT
10065040,C0001849,"AIDS dementia complex",LLT
10001513,C0001857,"AIDS related complex",LLT
10001513,C0001857,"AIDS related complex",PT
10001524,C0001860,"Ainhum",PT
10001524,C0001860,"Ainhum",LLT
10001557,C0001916,"Albinism",PT
10001557,C0001916,"Albinism",LLT
10001580,C0001925,"Albuminuria",PT
10001580,C0001925,"Albuminuria",LLT
10056424,C0001940,"Korsakoff's psychosis alcoholic",LLT
10048921,C0001948,"Alcohol use",LLT
10048921,C0001948,"Alcohol use",PT
10021249,C0001950,"Idiosyncratic alcohol intoxication",LLT
10021249,C0001950,"Idiosyncratic alcohol intoxication",PT
10080021,C0001956,"Alcohol use disorder",LLT
10080021,C0001956,"Alcohol use disorder",PT
10012225,C0001957,"Delirium tremens",PT
10012225,C0001957,"Delirium tremens",LLT
10001639,C0001973,"Alcoholism",PT
10001639,C0001973,"Alcoholism",LLT
10001663,C0002018,"Alexia",PT
10001663,C0002018,"Alexia",LLT
10077719,C0002020,"Alexithymia",LLT
10077719,C0002020,"Alexithymia",PT
10001680,C0002063,"Alkalosis",LLT
10001680,C0002063,"Alkalosis",PT
10038664,C0002064,"Respiratory alkalosis",PT
10038664,C0002064,"Respiratory alkalosis",LLT
10001689,C0002066,"Alkaptonuria",PT
10001689,C0002066,"Alkaptonuria",LLT
10001760,C0002170,"Alopecia",PT
10001760,C0002170,"Alopecia",LLT
10001761,C0002171,"Alopecia areata",PT
10001761,C0002171,"Alopecia areata",LLT
10056506,C0002173,"Follicular mucinosis",PT
10056506,C0002173,"Follicular mucinosis",LLT
10001765,C0002181,"Alopecia syphilitic",LLT
10001765,C0002181,"Alopecia syphilitic",PT
10043390,C0002312,"Thalassaemia alpha",LLT
10043390,C0002312,"Thalassaemia alpha",PT
10074846,C0002382,"Alveolar bone resorption",LLT
10074846,C0002382,"Alveolar bone resorption",PT
10001890,C0002390,"Alveolitis allergic",LLT
10081988,C0002390,"Hypersensitivity pneumonitis",LLT
10081988,C0002390,"Hypersensitivity pneumonitis",PT
10057973,C0002393,"Alveoloplasty",PT
10057973,C0002393,"Alveoloplasty",LLT
10012271,C0002395,"Dementia Alzheimer's type",LLT
10012271,C0002395,"Dementia Alzheimer's type",PT
10075305,C0002416,"Ambidexterity",PT
10075305,C0002416,"Ambidexterity",LLT
10001906,C0002418,"Amblyopia",PT
10001906,C0002418,"Amblyopia",LLT
10001980,C0002438,"Amoebiasis",LLT
10001980,C0002438,"Amoebiasis",PT
10066796,C0002448,"Ameloblastoma",PT
10066796,C0002448,"Ameloblastoma",LLT
10001928,C0002453,"Amenorrhoea",LLT
10001928,C0002453,"Amenorrhoea",PT
10084108,C0002514,"Inborn error of amino acid metabolism",PT
10084108,C0002514,"Inborn error of amino acid metabolism",LLT
10001938,C0002514,"Amino acid metabolism disorder",LLT
10001938,C0002514,"Amino acid metabolism disorder",PT
10001949,C0002622,"Amnesia",PT
10001949,C0002622,"Amnesia",LLT
10038965,C0002624,"Retrograde amnesia",PT
10038965,C0002624,"Retrograde amnesia",LLT
10061423,C0002625,"Amnestic disorder",LLT
10061423,C0002625,"Amnestic disorder",PT
10001958,C0002627,"Amniocentesis",PT
10001958,C0002627,"Amniocentesis",LLT
10060937,C0002631,"Amniotic cavity infection",LLT
10060937,C0002631,"Amniotic cavity infection",PT
10064100,C0002636,"Amniotic band syndrome",LLT
10064100,C0002636,"Amniotic band syndrome",PT
10061627,C0002688,"Amputation",LLT
10061627,C0002688,"Amputation",PT
10071564,C0002689,"Limb amputation",LLT
10071564,C0002689,"Limb amputation",PT
10061385,C0002694,"Traumatic amputation",LLT
10061385,C0002694,"Traumatic amputation",PT
10075307,C0002695,"Amputee",PT
10075307,C0002695,"Amputee",LLT
10002022,C0002726,"Amyloidosis",LLT
10002022,C0002726,"Amyloidosis",PT
10002026,C0002736,"Amyotrophic lateral sclerosis",PT
10002026,C0002736,"Amyotrophic lateral sclerosis",LLT
10056350,C0002766,"Pain management",PT
10056350,C0002766,"Pain management",LLT
10054891,C0002769,"Epidural analgesia",LLT
10054891,C0002769,"Epidural analgesia",PT
10002198,C0002792,"Anaphylactic reaction",PT
10002198,C0002792,"Anaphylactic reaction",LLT
10002034,C0002871,"Anaemia",LLT
10002034,C0002871,"Anaemia",PT
10002073,C0002873,"Anaemia of chronic disease",PT
10002073,C0002873,"Anaemia of chronic disease",LLT
10002967,C0002874,"Aplastic anaemia",PT
10002967,C0002874,"Aplastic anaemia",LLT
10081457,C0002876,"Congenital dyserythropoietic anaemia",PT
10081457,C0002876,"Congenital dyserythropoietic anaemia",LLT
10018916,C0002878,"Haemolytic anaemia",LLT
10018916,C0002878,"Haemolytic anaemia",PT
10073785,C0002880,"Autoimmune haemolytic anaemia",PT
10073785,C0002880,"Autoimmune haemolytic anaemia",LLT
10002046,C0002880,"Anaemia haemolytic autoimmune",LLT
10060893,C0002881,"Hereditary haemolytic anaemia",LLT
10060893,C0002881,"Hereditary haemolytic anaemia",PT
10020969,C0002884,"Hypochromic anaemia",PT
10020969,C0002884,"Hypochromic anaemia",LLT
10002064,C0002886,"Anaemia macrocytic",LLT
10002064,C0002886,"Anaemia macrocytic",PT
10002065,C0002888,"Anaemia megaloblastic",LLT
10002065,C0002888,"Anaemia megaloblastic",PT
10053199,C0002890,"Leukoerythroblastic anaemia",LLT
10053199,C0002890,"Leukoerythroblastic anaemia",PT
10024383,C0002890,"Leukoerythroblastosis",PT
10024383,C0002890,"Leukoerythroblastosis",LLT
10002068,C0002891,"Anaemia neonatal",LLT
10002068,C0002891,"Anaemia neonatal",PT
10034695,C0002892,"Pernicious anaemia",PT
10034695,C0002892,"Pernicious anaemia",LLT
10038269,C0002893,"Refractory anaemia",LLT
10038270,C0002894,"Refractory anaemia with an excess of blasts",LLT
10040641,C0002895,"Sickle cell anaemia",LLT
10040641,C0002895,"Sickle cell anaemia",PT
10040644,C0002895,"Sickle cell disease",PT
10040644,C0002895,"Sickle cell disease",LLT
10040661,C0002896,"Sideroblastic anaemia",LLT
10040661,C0002896,"Sideroblastic anaemia",PT
10049009,C0002897,"Anaemia splenic",LLT
10049009,C0002897,"Anaemia splenic",PT
10002320,C0002902,"Anencephaly",PT
10002320,C0002902,"Anencephaly",LLT
10067564,C0002903,"Anaesthesia procedure",PT
10067564,C0002903,"Anaesthesia procedure",LLT
10015011,C0002913,"Epidural anaesthesia",PT
10015011,C0002913,"Epidural anaesthesia",LLT
10018060,C0002915,"General anaesthesia",PT
10018060,C0002915,"General anaesthesia",LLT
10024758,C0002921,"Local anaesthesia",PT
10024758,C0002921,"Local anaesthesia",LLT
10041536,C0002928,"Spinal anaesthesia",PT
10041536,C0002928,"Spinal anaesthesia",LLT
10002329,C0002940,"Aneurysm",PT
10002329,C0002940,"Aneurysm",LLT
10061660,C0002949,"Artery dissection",LLT
10061660,C0002949,"Artery dissection",PT
10058017,C0002950,"Infective aneurysm",LLT
10058017,C0002950,"Infective aneurysm",PT
10002368,C0002957,"Anger",PT
10002368,C0002957,"Anger",LLT
10002383,C0002962,"Angina pectoris",PT
10002383,C0002962,"Angina pectoris",LLT
10036759,C0002963,"Prinzmetal angina",PT
10036759,C0002963,"Prinzmetal angina",LLT
10002388,C0002965,"Angina unstable",LLT
10002388,C0002965,"Angina unstable",PT
10061637,C0002978,"Angiogram",LLT
10061637,C0002978,"Angiogram",PT
10061639,C0002985,"Angiokeratoma",LLT
10061639,C0002985,"Angiokeratoma",PT
10016016,C0002986,"Fabry's disease",PT
10016016,C0002986,"Fabry's disease",LLT
10002424,C0002994,"Angioedema",PT
10002424,C0002994,"Angioedema",LLT
10002473,C0002994,"Angioneurotic oedema",LLT
10002512,C0003028,"Anhidrosis",PT
10002512,C0003028,"Anhidrosis",LLT
10002515,C0003044,"Animal bite",LLT
10002515,C0003044,"Animal bite",PT
10002532,C0003076,"Aniridia",PT
10002532,C0003076,"Aniridia",LLT
10002534,C0003078,"Aniseikonia",PT
10002534,C0003078,"Aniseikonia",LLT
10002535,C0003079,"Anisocoria",PT
10002535,C0003079,"Anisocoria",LLT
10037538,C0003079,"Pupils unequal",LLT
10002537,C0003081,"Anisometropia",PT
10002537,C0003081,"Anisometropia",LLT
10023198,C0003090,"Joint ankylosis",LLT
10023198,C0003090,"Joint ankylosis",PT
10002640,C0003119,"Anophthalmos",PT
10002640,C0003119,"Anophthalmos",LLT
10002646,C0003123,"Anorexia",LLT
10002649,C0003125,"Anorexia nervosa",PT
10002649,C0003125,"Anorexia nervosa",LLT
10002653,C0003126,"Anosmia",PT
10002653,C0003126,"Anosmia",LLT
10002660,C0003130,"Anoxia",PT
10002660,C0003130,"Anoxia",LLT
10050750,C0003132,"Anoxic encephalopathy",LLT
10002713,C0003175,"Anthrax",PT
10002713,C0003175,"Anthrax",LLT
10011660,C0003177,"Cutaneous anthrax",PT
10011660,C0003177,"Cutaneous anthrax",LLT
10053468,C0003281,"Anticoagulant therapy",PT
10053468,C0003281,"Anticoagulant therapy",LLT
10002822,C0003431,"Antisocial personality disorder",PT
10002822,C0003431,"Antisocial personality disorder",LLT
10037218,C0003431,"Psychopathic personality",LLT
10037218,C0003431,"Psychopathic personality",PT
10002847,C0003460,"Anuria",PT
10002847,C0003460,"Anuria",LLT
10061629,C0003463,"Anal neoplasm",LLT
10061629,C0003463,"Anal neoplasm",PT
10002120,C0003466,"Anal atresia",PT
10002120,C0003466,"Anal atresia",LLT
10002855,C0003467,"Anxiety",PT
10002855,C0003467,"Anxiety",LLT
10057666,C0003469,"Anxiety disorder",PT
10057666,C0003469,"Anxiety disorder",LLT
10040045,C0003477,"Separation anxiety disorder",PT
10040045,C0003477,"Separation anxiety disorder",LLT
10002882,C0003486,"Aortic aneurysm",PT
10002882,C0003486,"Aortic aneurysm",LLT
10009807,C0003492,"Coarctation of the aorta",LLT
10009807,C0003492,"Coarctation of the aorta",PT
10058648,C0003493,"Aortic disorder",LLT
10058648,C0003493,"Aortic disorder",PT
10060874,C0003496,"Aortic rupture",LLT
10060874,C0003496,"Aortic rupture",PT
10042598,C0003499,"Supravalvular aortic stenosis",LLT
10042598,C0003499,"Supravalvular aortic stenosis",PT
10002915,C0003504,"Aortic valve incompetence",PT
10002915,C0003504,"Aortic valve incompetence",LLT
10057454,C0003505,"Aortic valve prolapse",LLT
10057454,C0003505,"Aortic valve prolapse",PT
10002916,C0003506,"Aortic valve replacement",LLT
10002916,C0003506,"Aortic valve replacement",PT
10002918,C0003507,"Aortic valve stenosis",PT
10002918,C0003507,"Aortic valve stenosis",LLT
10002906,C0003507,"Aortic stenosis",LLT
10002906,C0003507,"Aortic stenosis",PT
10002921,C0003509,"Aortitis",LLT
10002921,C0003509,"Aortitis",PT
10002923,C0003511,"Aortitis syphilitic",LLT
10002923,C0003511,"Aortitis syphilitic",PT
10063732,C0003516,"Aorticopulmonary septal defect",LLT
10063732,C0003516,"Aorticopulmonary septal defect",PT
10062552,C0003533,"Apgar score",LLT
10062552,C0003533,"Apgar score",PT
10002945,C0003534,"Aphakia",PT
10002945,C0003534,"Aphakia",LLT
10002948,C0003537,"Aphasia",PT
10002948,C0003537,"Aphasia",LLT
10002953,C0003564,"Aphonia",PT
10002953,C0003564,"Aphonia",LLT
10002960,C0003571,"Apicectomy",LLT
10002960,C0003571,"Apicectomy",PT
10002974,C0003578,"Apnoea",PT
10002974,C0003578,"Apnoea",LLT
10003010,C0003611,"Appendicectomy",PT
10003010,C0003611,"Appendicectomy",LLT
10056288,C0003614,"Neoplasm of appendix",PT
10056288,C0003614,"Neoplasm of appendix",LLT
10003011,C0003615,"Appendicitis",PT
10003011,C0003615,"Appendicitis",LLT
10060961,C0003621,"Appetite disorder",LLT
10060961,C0003621,"Appetite disorder",PT
10003062,C0003635,"Apraxia",PT
10003062,C0003635,"Apraxia",LLT
10013976,C0003635,"Dyspraxia",PT
10013976,C0003635,"Dyspraxia",LLT
10063847,C0003706,"Arachnodactyly",LLT
10063847,C0003706,"Arachnodactyly",PT
10003074,C0003708,"Arachnoiditis",PT
10003074,C0003708,"Arachnoiditis",LLT
10003094,C0003782,"Argyria",PT
10003094,C0003782,"Argyria",LLT
10003101,C0003803,"Arnold-Chiari malformation",LLT
10003101,C0003803,"Arnold-Chiari malformation",PT
10073270,C0003810,"Ovarian Sertoli-Leydig cell tumour",LLT
10073270,C0003810,"Ovarian Sertoli-Leydig cell tumour",PT
10003119,C0003811,"Arrhythmia",LLT
10003119,C0003811,"Arrhythmia",PT
10040739,C0003813,"Sinus arrhythmia",PT
10040739,C0003813,"Sinus arrhythmia",LLT
10062542,C0003834,"Arterial insufficiency",LLT
10062542,C0003834,"Arterial insufficiency",PT
10062599,C0003838,"Arterial occlusive disease",LLT
10062599,C0003838,"Arterial occlusive disease",PT
10003210,C0003850,"Arteriosclerosis",PT
10003210,C0003850,"Arteriosclerosis",LLT
10065418,C0003851,"Arteriosclerosis obliterans",LLT
10003226,C0003855,"Arteriovenous fistula",LLT
10003226,C0003855,"Arteriovenous fistula",PT
10003193,C0003857,"Arteriovenous malformation",PT
10003193,C0003857,"Arteriovenous malformation",LLT
10003230,C0003860,"Arteritis",LLT
10003230,C0003860,"Arteritis",PT
10003239,C0003862,"Arthralgia",PT
10003239,C0003862,"Arthralgia",LLT
10003246,C0003864,"Arthritis",LLT
10003246,C0003864,"Arthritis",PT
10018634,C0003868,"Gouty arthritis",PT
10018634,C0003868,"Gouty arthritis",LLT
10060968,C0003869,"Arthritis infective",LLT
10060968,C0003869,"Arthritis infective",PT
10037162,C0003872,"Psoriatic arthropathy",LLT
10037162,C0003872,"Psoriatic arthropathy",PT
10039073,C0003873,"Rheumatoid arthritis",PT
10039073,C0003873,"Rheumatoid arthritis",LLT
10003274,C0003875,"Arthritis viral",LLT
10003274,C0003875,"Arthritis viral",PT
10061683,C0003881,"Arthrodesis",LLT
10061683,C0003881,"Arthrodesis",PT
10003278,C0003885,"Arthrogram",PT
10003278,C0003885,"Arthrogram",LLT
10029326,C0003892,"Neuropathic arthropathy",PT
10029326,C0003892,"Neuropathic arthropathy",LLT
10023225,C0003893,"Joint reconstruction",LLT
10057681,C0003893,"Joint arthroplasty",LLT
10057681,C0003893,"Joint arthroplasty",PT
10003411,C0003904,"Arthroscopy",PT
10003411,C0003904,"Arthroscopy",LLT
10003441,C0003949,"Asbestosis",PT
10003441,C0003949,"Asbestosis",LLT
10003442,C0003950,"Ascariasis",PT
10003442,C0003950,"Ascariasis",LLT
10003445,C0003962,"Ascites",PT
10003445,C0003962,"Ascites",LLT
10047623,C0003969,"Vitamin C deficiency",PT
10047623,C0003969,"Vitamin C deficiency",LLT
10003488,C0004030,"Aspergillosis",LLT
10074171,C0004030,"Aspergillus infection",LLT
10074171,C0004030,"Aspergillus infection",PT
10006474,C0004031,"Bronchopulmonary aspergillosis allergic",LLT
10006474,C0004031,"Bronchopulmonary aspergillosis allergic",PT
10080492,C0004032,"Disseminated aspergillosis",PT
10080492,C0004032,"Disseminated aspergillosis",LLT
10003497,C0004044,"Asphyxia",PT
10003497,C0004044,"Asphyxia",LLT
10028923,C0004045,"Neonatal asphyxia",PT
10028923,C0004045,"Neonatal asphyxia",LLT
10018436,C0004076,"Glucose urine",LLT
10018436,C0004076,"Glucose urine",PT
10003549,C0004093,"Asthenia",PT
10003549,C0004093,"Asthenia",LLT
10003552,C0004095,"Asthenopia",PT
10003552,C0004095,"Asthenopia",LLT
10003553,C0004096,"Asthma",LLT
10003553,C0004096,"Asthma",PT
10003557,C0004099,"Asthma exercise induced",LLT
10003557,C0004099,"Asthma exercise induced",PT
10003569,C0004106,"Astigmatism",PT
10003569,C0004106,"Astigmatism",LLT
10003571,C0004114,"Astrocytoma",PT
10003571,C0004114,"Astrocytoma",LLT
10003591,C0004134,"Ataxia",PT
10003591,C0004134,"Ataxia",LLT
10003594,C0004135,"Ataxia telangiectasia",PT
10003594,C0004135,"Ataxia telangiectasia",LLT
10062002,C0004138,"Hereditary ataxia",PT
10062002,C0004138,"Hereditary ataxia",LLT
10003598,C0004144,"Atelectasis",PT
10003598,C0004144,"Atelectasis",LLT
10009913,C0004144,"Collapse of lung",LLT
10003601,C0004153,"Atherosclerosis",LLT
10003620,C0004158,"Athetosis",PT
10003620,C0004158,"Athetosis",LLT
10041738,C0004161,"Sports injury",LLT
10041738,C0004161,"Sports injury",PT
10003658,C0004238,"Atrial fibrillation",PT
10003658,C0004238,"Atrial fibrillation",LLT
10003662,C0004239,"Atrial flutter",PT
10003662,C0004239,"Atrial flutter",LLT
10003671,C0004245,"Atrioventricular block",LLT
10003671,C0004245,"Atrioventricular block",PT
10069571,C0004331,"Atrioventricular dissociation",PT
10069571,C0004331,"Atrioventricular dissociation",LLT
10003853,C0004331,"AV dissociation",LLT
10076270,C0004339,"Auscultation",PT
10076270,C0004339,"Auscultation",LLT
10003808,C0004352,"Autistic disorder",LLT
10003805,C0004352,"Autism",LLT
10061664,C0004364,"Autoimmune disorder",LLT
10061664,C0004364,"Autoimmune disorder",PT
10003830,C0004377,"Automatism",PT
10003830,C0004377,"Automatism",LLT
10050117,C0004398,"Autopsy",PT
10050117,C0004398,"Autopsy",LLT
10003865,C0004444,"Avoidant personality disorder",PT
10003865,C0004444,"Avoidant personality disorder",LLT
10003883,C0004509,"Azoospermia",PT
10003883,C0004509,"Azoospermia",LLT
10003965,C0004576,"Babesiosis",PT
10003965,C0004576,"Babesiosis",LLT
10003986,C0004601,"Back injury",LLT
10003986,C0004601,"Back injury",PT
10003988,C0004604,"Back pain",PT
10003988,C0004604,"Back pain",LLT
10038924,C0004608,"Retinopathy background",LLT
10003997,C0004610,"Bacteraemia",PT
10003997,C0004610,"Bacteraemia",LLT
10060945,C0004623,"Bacterial infection",LLT
10060945,C0004623,"Bacterial infection",PT
10060946,C0004626,"Pneumonia bacterial",LLT
10060946,C0004626,"Pneumonia bacterial",PT
10004056,C0004659,"Bacteriuria",PT
10004056,C0004659,"Bacteriuria",LLT
10058890,C0004669,"Bacteroides infection",LLT
10058890,C0004669,"Bacteroides infection",PT
10004073,C0004690,"Balanitis",LLT
10004078,C0004691,"Balanoposthitis",PT
10004078,C0004691,"Balanoposthitis",LLT
10004080,C0004692,"Balantidiasis",PT
10004080,C0004692,"Balantidiasis",LLT
10010252,C0004712,"Concentric sclerosis",PT
10010252,C0004712,"Concentric sclerosis",LLT
10061688,C0004760,"Barotrauma",LLT
10061688,C0004760,"Barotrauma",PT
10004137,C0004763,"Barrett's oesophagus",PT
10004137,C0004763,"Barrett's oesophagus",LLT
10004138,C0004766,"Bartholin's abscess",PT
10004138,C0004766,"Bartholin's abscess",LLT
10004140,C0004767,"Bartholin's cyst",PT
10004140,C0004767,"Bartholin's cyst",LLT
10004142,C0004769,"Bartholinitis",PT
10004142,C0004769,"Bartholinitis",LLT
10004145,C0004771,"Bartonellosis",PT
10004145,C0004771,"Bartonellosis",LLT
10050839,C0004775,"Bartter's syndrome",LLT
10050839,C0004775,"Bartter's syndrome",PT
10062804,C0004779,"Basal cell naevus syndrome",LLT
10062804,C0004779,"Basal cell naevus syndrome",PT
10069536,C0004820,"Mast cell degranulation test",PT
10069536,C0004820,"Mast cell degranulation test",LLT
10050344,C0004903,"Beckwith-Wiedemann syndrome",PT
10050344,C0004903,"Beckwith-Wiedemann syndrome",LLT
10050118,C0004910,"Bed rest",LLT
10004207,C0004930,"Behaviour disorder",LLT
10004207,C0004930,"Behaviour disorder",PT
10074786,C0004933,"Behavioural therapy",PT
10074786,C0004933,"Behavioural therapy",LLT
10061284,C0004936,"Mental disorder",LLT
10061284,C0004936,"Mental disorder",PT
10004213,C0004943,"Behcet's syndrome",PT
10004213,C0004943,"Behcet's syndrome",LLT
10004231,C0004968,"Bence Jones proteinuria",PT
10004231,C0004968,"Bence Jones proteinuria",LLT
10004249,C0004991,"Benign colonic neoplasm",LLT
10061095,C0004992,"Cranial nerve neoplasm benign",LLT
10061095,C0004992,"Cranial nerve neoplasm benign",PT
10004433,C0004997,"Benign ovarian tumour",PT
10004433,C0004997,"Benign ovarian tumour",LLT
10004398,C0004998,"Benign neoplasm of skin",LLT
10004398,C0004998,"Benign neoplasm of skin",PT
10004478,C0005119,"Bereavement",LLT
10004478,C0005119,"Bereavement",PT
10004480,C0005119,"Bereavement reaction",LLT
10057473,C0005129,"Bernard-Soulier syndrome",PT
10057473,C0005129,"Bernard-Soulier syndrome",LLT
10004485,C0005138,"Berylliosis",PT
